1;1;1;0;3.0
1;1;4;0;3.1
1;1;7;0;2.2
1;1;10;11;2.0
1;1;13;83;2.8
1;1;16;3;2.4
1;1;19;0;1.6
1;1;22;0;0.7
2;1;1;0;-0.2
2;1;4;0;-1.4
2;1;7;0;-2.1
2;1;10;3;-2.3
2;1;13;115;-0.4
2;1;16;8;-0.9
2;1;19;0;-1.0
2;1;22;0;-1.1
3;1;1;0;-1.0
3;1;4;0;-0.6
3;1;7;0;-0.3
3;1;10;3;0.0
3;1;13;15;0.8
3;1;16;3;0.8
3;1;19;0;0.7
3;1;22;0;0.3
4;1;1;0;0.1
4;1;4;0;-1.7
4;1;7;0;-1.2
4;1;10;2;-1.6
4;1;13;15;-1.9
4;1;16;3;-1.8
4;1;19;0;-2.2
4;1;22;0;-2.6
5;1;1;0;-3.3
5;1;4;0;-4.6
5;1;7;0;-5.2
5;1;10;17;-4.7
5;1;13;174;-0.6
5;1;16;23;-1.4
5;1;19;0;-2.8
5;1;22;0;-4.3
6;1;1;0;-5.8
6;1;4;0;-7.3
6;1;7;0;-8.2
6;1;10;16;-8.0
6;1;13;152;-4.6
6;1;16;34;-4.9
6;1;19;0;-5.8
6;1;22;0;-6.6
7;1;1;0;-7.3
7;1;4;0;-7.3
7;1;7;0;-7.2
7;1;10;21;-6.0
7;1;13;168;-0.8
7;1;16;29;-2.0
7;1;19;0;-3.6
7;1;22;0;-4.4
8;1;1;0;-5.4
8;1;4;0;-7.0
8;1;7;0;-7.8
8;1;10;3;-8.1
8;1;13;171;-5.1
8;1;16;14;-6.5
8;1;19;0;-7.8
8;1;22;0;-8.9
9;1;1;0;-10.0
9;1;4;0;-11.3
9;1;7;0;-12.0
9;1;10;6;-12.2
9;1;13;14;-12.1
9;1;16;27;-11.4
9;1;19;0;-11.8
9;1;22;0;-11.8
10;1;1;0;-11.7
10;1;4;0;-11.2
10;1;7;0;-10.9
10;1;10;7;-10.4
10;1;13;31;-9.1
10;1;16;8;-9.0
