1;1;1;0,4;741.9;4;13,5
1;1;4;0,8;741.0;3;16,7
1;1;7;1;739.9;3;17,1
1;1;10;1,5;739.3;3;18,8
1;1;13;2,2;739.3;3;11,7
1;1;16;1,9;738.7;2;16,5
1;1;19;1,4;738.3;2;26,1
1;1;22;1,4;737.5;2;24,9
2;1;1;1,3;736.5;3;22,3
2;1;4;1,3;735.2;2;31,6
2;1;7;1,1;733.8;3;33,6
2;1;10;0,8;733.5;3;29,7
2;1;13;1,4;733.8;2;26,1
2;1;16;1,3;734.2;1;28,8
2;1;19;0,6;734.2;1;31,8
2;1;22;-0,1;734.0;2;51,4
3;1;1;-1;733.9;2;47,9
3;1;4;-1,3;733.9;1;33,6
3;1;7;-2,2;733.9;1;29,5
3;1;10;-5,4;735.0;4;25,3
3;1;13;-6,3;735.9;3;13,7
3;1;16;-7;736.4;2;18,6
3;1;19;-8,4;737.2;3;20,1
3;1;22;-11,5;738.1;3;15,9
4;1;1;-14,3;739.2;1;9,8
4;1;4;-14,5;739.0;1;5,4
4;1;7;-15,1;739.2;1;6,8
4;1;10;-15;739.3;2;4,9
4;1;13;-13,4;739.0;3;0
4;1;16;-12;738.9;2;0
4;1;19;-11,2;738.4;2;0
4;1;22;-10,2;737.2;3;0,5
5;1;1;-8,9;735.7;3;14,2
5;1;4;-8,9;734.8;3;19,5
5;1;7;-9,3;735.2;3;22,5
5;1;10;-10,7;736.6;3;16,4
5;1;13;-11,1;738.4;3;14,8
5;1;16;-12,8;740.7;3;14
5;1;19;-14,5;743.5;3;15,4
5;1;22;-18;745.8;4;15,6
6;1;1;-18,6;748.2;3;15,3
6;1;4;-20;750.1;4;15
6;1;7;-23;752.0;3;29,7
6;1;10;-24,9;754.3;3;23,2
6;1;13;-24,8;756.3;3;13
6;1;16;-25,6;757.7;4;27,9
6;1;19;-26,7;759.1;3;42,7
6;1;22;-27,5;760.0;3;30,6
7;1;1;-27,7;760.6;2;28
7;1;4;-28,3;760.4;3;32,4
7;1;7;-28,6;759.7;3;33,1
7;1;10;-29,6;759.2;3;28
7;1;13;-28,2;758.4;2;27,1
7;1;16;-24,6;757.0;2;45,7
7;1;19;-26,2;757.3;3;57,4
7;1;22;-27,8;757.3;2;53,3
8;1;1;-28,2;757.5;2;38,9
8;1;4;-28,6;757.6;3;33
8;1;7;-29,6;757.9;2;28,7
8;1;10;-30;758.8;2;19,5
8;1;13;-26,6;759.3;2;13,2
8;1;16;-22,9;758.8;2;12,7
8;1;19;-24,2;759.2;2;17,9
8;1;22;-25,4;758.7;1;16
9;1;1;-26,8;758.8;2;15,7
9;1;4;-28,1;758.2;1;20,6
9;1;7;-28,7;757.8;1;18,8
9;1;10;-28,3;757.3;0;28,1
9;1;13;-24,7;757.3;1;31,7
9;1;16;-22,1;756.1;1;49,4
9;1;19;-21,6;756.4;0;38,2
9;1;22;-20,1;755.4;1;32,2
10;1;1;-18,9;754.9;2;31,3
10;1;4;-16,5;754.4;2;41,8
10;1;7;-14,4;754.0;1;53,4
10;1;10;-12,1;754.4;1;63,3
10;1;13;-9,5;754.5;2;53,7
10;1;16;-8,3;754.3;2;56,7
10;1;19;-8,2;754.4;2;49
10;1;22;-7;754.3;2;43,6
11;1;1;-6,9;755.0;3;26,9
11;1;4;-7,1;755.2;2;21,2
11;1;7;-7,5;754.8;3;15,8
11;1;10;-8,2;755.0;3;32,2
11;1;13;-9,3;755.3;2;14,4
11;1;16;-10;755.0;2;21,1
11;1;19;-12,6;754.6;2;50,7
11;1;22;-12,1;754.2;2;22,3
12;1;1;-11,8;753.5;3;9
12;1;4;-11,5;752.5;1;7,6
12;1;7;-13,4;751.0;1;11
12;1;10;-10;749.2;3;16,3
12;1;13;-9,6;747.7;3;19,9
12;1;16;-9,3;745.6;3;23,9
12;1;19;-8,4;743.5;2;31,3
12;1;22;-7,1;740.8;2;43,6
13;1;1;-5,1;740.0;1;43,2
13;1;4;-2,7;741.4;2;52,2
13;1;7;-3,3;742.0;2;48,2
13;1;10;-3,4;742.9;2;45,1
13;1;13;-3,4;744.0;3;29,7
13;1;16;-3,2;744.5;3;24,9
13;1;19;-4,1;745.2;1;37,8
13;1;22;-4,7;745.9;2;41,8
14;1;1;-5,5;746.6;2;40
14;1;4;-7,1;747.3;2;42,5
14;1;7;-6,1;747.4;2;42,8
14;1;10;-4,8;747.4;3;29,7
14;1;13;-3,4;747.7;4;15,1
14;1;16;-2,9;748.0;4;15,1
14;1;19;-2,4;747.6;4;24,8
14;1;22;-2,4;747.4;5;26,4
15;1;1;-2,7;747.1;5;18,9
