23.12.2017 06:00;-5.3;744.8;757.6;-1.1;92;2;10.0;-6.4
23.12.2017 03:00;-6.1;745.9;758.8;-0.9;91;1;10.0;-7.4
23.12.2017 00:00;-5.8;746.8;759.7;-0.7;93;1;10.0;-6.7
22.12.2017 21:00;-4.9;747.5;760.3;-1.0;95;1;10.0;-5.6
22.12.2017 18:00;-3.6;748.5;761.2;-0.6;92;2;10.0;-4.8
22.12.2017 15:00;-3.2;749.1;761.8;-0.9;88;3;10.0;-5.0
22.12.2017 12:00;-3.0;750.0;762.7;-0.7;84;2;10.0;-5.3
22.12.2017 09:00;-3.8;750.7;763.6;-0.4;94;1;10.0;-4.6
22.12.2017 06:00;-3.3;751.1;763.9;-0.9;93;1;10.0;-4.3
22.12.2017 03:00;-2.3;752.0;764.8;-1.1;93;1;10.0;-3.3
22.12.2017 00:00;-1.8;753.1;766.0;-1.2;93;1;10.0;-2.8
21.12.2017 21:00;-1.3;754.3;767.2;-1.2;94;1;10.0;-2.1
21.12.2017 18:00;-0.6;755.5;768.3;-1.3;95;1;10.0;-1.3
21.12.2017 15:00;-0.4;756.8;769.6;-2.0;92;1;10.0;-1.5
21.12.2017 12:00;-0.8;758.8;771.7;-0.9;95;1;10.0;-1.5
21.12.2017 09:00;-2.7;759.7;772.6;-0.6;97;0;10.0;-3.1
21.12.2017 06:00;-0.5;760.3;773.1;-0.5;93;0;10.0;-1.5
21.12.2017 03:00;-0.4;760.8;773.6;-0.4;96;1;10.0;-0.9
21.12.2017 00:00;-0.1;761.2;774.0;0.5;97;1;10.0;-0.5
20.12.2017 21:00;0.1;760.7;773.5;0.4;96;1;10.0;-0.4
20.12.2017 18:00;0.2;760.3;773.2;0.6;96;1;4.0;-0.3
20.12.2017 15:00;0.3;759.7;772.6;0.3;96;1;4.0;-0.2
20.12.2017 12:00;-0.1;759.4;772.3;1.1;98;1;4.0;-0.4
20.12.2017 09:00;-0.7;758.3;771.1;1.5;98;1;4.0;-1.0
20.12.2017 06:00;-0.7;756.8;769.6;0.7;97;1;4.0;-1.1
20.12.2017 03:00;-0.6;756.1;769.0;1.0;98;1;4.0;-0.9
20.12.2017 00:00;-0.3;755.1;767.8;1.0;99;2;4.0;-0.5
19.12.2017 21:00;-0.1;754.1;766.9;1.0;99;2;1.0;-0.3
19.12.2017 18:00;0.1;753.1;765.7;1.1;98;2;4.0;-0.2
19.12.2017 15:00;0.0;752.0;764.6;0.1;98;2;1.0;-0.3
19.12.2017 12:00;-0.1;751.9;764.6;0.9;97;2;1.0;-0.5
19.12.2017 09:00;-0.6;751.0;763.7;0.4;97;2;4.0;-1.0
19.12.2017 06:00;-1.1;750.6;763.3;-0.3;97;2;4.0;-1.5
19.12.2017 03:00;-0.9;750.9;763.6;-0.7;96;3;2.0;-1.4
